"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"48","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53.s__",NA,NA,NA,0.0976256013327132,NA,NA,NA,NA,0.109722066027212,NA,0.0768395075406503,NA,NA,0.0791155285873317,NA,NA,NA,0.0280677807346871,NA
"49","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288373231408419,NA
"50","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145341523744084,NA,NA,NA,0.152174230200883,0.0838376326981451,NA,NA
"51","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108229428088148,0.0990772338159848,NA,NA,NA,NA,NA,NA,NA
"52","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491525920409624,NA
"53","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__producta",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82972077719913,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__citroniae",NA,NA,NA,NA,NA,NA,NA,0.003441053375198,NA,NA,0.00226798845219292,NA,0.00287297215668074,NA,0.00115561846694508,NA,NA,NA,NA
"55","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__hathewayi",NA,1.09073157135032,NA,0.965947575204177,1.09073157135032,1.09073157135032,NA,1.17483592812506,1.10276428493863,0.442678387337427,NA,0.712115182279255,NA,0.763517824875164,NA,NA,NA,NA,NA
"56","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense",NA,NA,NA,NA,NA,NA,NA,0.0125067701040023,NA,NA,0.0083070645034392,NA,0.0104292431162678,0.00817460780418262,NA,NA,NA,NA,0.00946190230074414
"57","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__symbiosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0485923257178094,NA,NA,NA,0.108081386813775
