"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"62","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379338548046501,NA,NA,NA,NA,NA,NA,NA
"63","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__faecis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05620250780411,NA,NA,NA,-1.09674824441814,NA,NA,-1.05731631372235,NA
"64","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49937872240486,NA,NA,NA,6.8861418024751,NA,NA,NA,NA,NA
"65","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__",NA,10.6332826554482,NA,11.6841737664472,10.6332826554482,-10.6332826554482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53115583923886,NA,NA,NA,NA,NA,NA,-1.77262744342365,-1.35665206481629,4.49018150962686
"67","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.241744773751122,NA,NA,-0.184703243668769,NA,NA,NA,NA,NA,NA,NA
"68","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0724988591572276,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Clostridium.s__methylpentosum",NA,NA,NA,NA,NA,NA,NA,NA,0.0251817396491695,0.012274552132775,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.s__prausnitzii",NA,NA,NA,NA,NA,NA,NA,NA,6.03397601764103,NA,NA,NA,NA,NA,-2.08998480340724,NA,NA,-1.71957365511371,-4.96078307753066
"71","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Gemmiger.s__formicilis",5.72651950691082,NA,-1.14726422623986,NA,NA,NA,NA,NA,NA,NA,1.87759524174924,0.998675995377517,NA,NA,-0.625537390671239,NA,NA,-0.586208457419557,NA
"72","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__",NA,NA,NA,NA,NA,NA,NA,NA,5.20210625684789,NA,2.64918684277332,NA,NA,NA,-1.33200583223618,NA,-1.60141748278178,-1.69547035112401,NA
"73","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__",NA,NA,NA,-1.17522234578776,NA,NA,NA,NA,1.89085211854088,NA,1.41449555913489,NA,NA,NA,-0.587997883037273,NA,-0.798374619014907,-0.645296744250726,NA
"74","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii",NA,NA,NA,NA,NA,NA,NA,NA,2.62141493942356,NA,NA,NA,NA,NA,NA,NA,-0.936111697917489,-0.8675056824297,NA
