"","taxa","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"33","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12908992787412,NA,NA,NA,2.83932690840534,NA,NA,NA,NA,NA
"34","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__infantis",0.158069317346102,0.122207085163149,NA,0.342164805510047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0867384010268382,NA,NA,NA,NA
"35","k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter.s__",0.0549871747751341,NA,NA,NA,0.0494516167327036,0.0498505131090145,0.0331478136225335,NA,NA,NA,NA,NA,NA,NA,0.0227850613351231,NA,NA,NA,NA
"36","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67698009489893,NA,NA
"37","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632787331247763,NA,NA,1.18815713108021,NA,NA,NA,NA
"38","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__",NA,0.0457367735767518,NA,NA,NA,NA,0.033662661831909,NA,NA,NA,NA,0.0263449456049532,NA,NA,NA,0.0259476327893958,NA,NA,NA
"39","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0690222902150815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__",NA,NA,NA,0.0236649568099278,NA,NA,NA,NA,NA,NA,NA,0.0488183788682319,0.0451256667879398,NA,0.00600340488008173,NA,NA,NA,NA
"41","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__celatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225629625250457,0.198433176609733,NA,NA,NA,0.318779425544537,NA,NA
"42","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0993583785601477,NA,NA,0.112790383368424,NA,0.0907764689905732,NA,NA
"43","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis.s__",NA,NA,0.050023020456346,0.194254310232106,NA,NA,NA,NA,NA,0.00355331693298933,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,0.58964191672178,NA,NA,0.418928609612736,NA,NA,NA,NA,NA,NA,NA
"45","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__",NA,0.11241980569312,0.0794817160538222,0.332700916672021,0.20761149058974,0.126464744260424,0.0830989603961716,0.219066348753409,NA,NA,NA,0.0879750235108875,NA,NA,NA,NA,NA,NA,NA
"46","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__gnavus",NA,NA,NA,NA,NA,NA,2.03349376942755,NA,NA,1.62743524357708,NA,NA,0.902870732977844,NA,NA,1.52325956470396,NA,0.835009403725468,NA
"47","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques",NA,NA,NA,NA,NA,NA,0.191407718727375,NA,0.13218162080307,NA,NA,NA,NA,NA,NA,0.151112026333655,NA,NA,NA
"48","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.397929144041808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__",NA,NA,NA,NA,NA,NA,1.9057605689768,NA,NA,NA,NA,NA,NA,NA,NA,1.50984109385838,NA,NA,NA
"50","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__obeum",NA,NA,NA,NA,NA,NA,0.349393357203337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__producta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955086187438996,NA,NA,NA,NA,NA,NA
"52","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216982131877978,NA
"53","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__aldenense",NA,NA,NA,NA,NA,NA,NA,0.0736794587717306,NA,NA,NA,NA,0.0482076839930324,NA,NA,NA,NA,0.0442988965856842,NA
"54","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__citroniae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00610092600709391,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__clostridioforme",NA,NA,NA,NA,NA,NA,0.190321799083576,NA,NA,NA,NA,NA,0.135267190509289,NA,NA,NA,NA,NA,NA
"56","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__hathewayi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857062972741043,NA,NA,NA,NA
"57","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__lavalense",NA,0.0108227725188983,NA,0.0309456308881777,NA,NA,0.00805116857769204,NA,NA,NA,NA,0.015312655322826,0.0140056721660452,NA,0.00776709672712641,NA,NA,NA,NA
"58","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__symbiosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833803299891472,NA
"59","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus.s__",NA,NA,NA,NA,NA,NA,1.06605924635569,NA,NA,0.877046340857007,NA,NA,NA,NA,NA,0.836618554304837,NA,NA,NA
"60","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__",NA,NA,NA,NA,NA,NA,NA,NA,0.186078667745851,NA,NA,NA,NA,NA,NA,NA,NA,0.108392351242221,NA
"61","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira.s__",NA,NA,NA,NA,NA,0.148252926513672,NA,NA,0.166818899396477,NA,NA,NA,NA,NA,NA,0.0962814526051127,NA,NA,NA
"62","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0415489154104478,NA,0.256299560183694,0.226629247479543,NA,NA,NA,NA,0.209449816437791,NA
