"","taxa","Busulfan","Cyclophosphamide","Fludarabine","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"34","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__.s__",NA,0.160109594116458,NA,NA,NA,NA,NA,NA,NA,0.0263988328961527,NA,NA,NA,NA,NA,NA,NA
"35","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Tissierellaceae..g__Finegoldia.s__",NA,NA,NA,NA,NA,NA,NA,0.0728835998688831,NA,NA,NA,NA,NA,0.0772166207081499,NA,NA,NA
"36","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0489613479621733,0.046526994323134,NA,0.00601442171293685,NA,NA,NA,NA
"37","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__celatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205100449852308,NA,NA,NA,0.316828917797295,NA,NA
"38","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium.s__paraputrificum",NA,0.568204867974918,0.281756291919108,NA,NA,NA,NA,NA,NA,0.0997674083591968,NA,NA,0.113743608926999,NA,0.0911386729577707,NA,NA
"39","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Anaerofustis.s__",NA,NA,NA,NA,NA,0.00610809850899966,NA,0.00373410739668608,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41694575165461,NA,NA,NA,NA,NA,NA,NA
"41","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__",NA,0.386179783798725,0.19933383286691,0.208207489438961,0.207273784151555,0.117356120609122,0.221011180560112,NA,NA,0.0885144792769354,NA,NA,NA,NA,NA,NA,0.463864781980085
"42","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__gnavus",NA,NA,NA,NA,NA,NA,NA,1.7130858913436,NA,NA,0.930857780319657,NA,NA,1.79515246922409,NA,0.892641085654396,NA
"43","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus..s__torques",NA,NA,NA,NA,NA,0.262786237084159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__",NA,9.51951209362921,NA,NA,NA,2.73297778132838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__obeum",NA,NA,NA,NA,NA,0.499808729447832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__producta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.986384706286487,NA,NA,2.03755309357131,NA,NA,NA
"47","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230969815890659,NA
"48","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Clostridium.s__aldenense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0498065784785284,NA,NA,NA,NA,0.0472804352684311,NA
