"","taxa","Busulfan","Cyclophosphamide","Fludarabine","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Ceftazidime","Ceftriaxon","Ciprofloxacin","Meropenem","Piperacillin.tazobactam","Vancomycin","Tobramycin"
"55","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632501167465168,0.462820330149573,NA,NA,NA,NA,NA,NA
"56","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.25267132284024,NA,NA,NA,NA,NA,NA,NA
"57","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__.__",NA,NA,NA,NA,NA,NA,NA,NA,11.5219926156337,NA,NA,NA,NA,NA,NA,NA,NA
"58","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__.s__",NA,NA,NA,NA,NA,0.34335028060805,NA,0.270271529408801,NA,-0.461449594365762,NA,NA,NA,NA,1.73437107198343,NA,NA
"59","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Clostridium.s__bartlettii",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.98357655771846,NA,NA,NA,NA,NA,NA,NA
"60","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__.__",NA,11.9948757359504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__.s__",NA,NA,NA,NA,NA,-1.96037716658766,NA,NA,NA,0.725492521088012,0.603372154760799,NA,NA,NA,NA,NA,NA
"62","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0357709099478309,0.0211895450096939,NA,0.0430789826624335,NA,NA,NA,NA
"63","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus.s__pullicaecorum",NA,NA,NA,NA,NA,NA,2.49584701047087,NA,NA,NA,0.60663309629811,NA,0.899549888745698,NA,NA,0.414251146837783,NA
"64","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Clostridium.s__methylpentosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106360076498277,0.0336554305755352,NA,NA,NA,NA,NA,NA
"65","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.230516023450498,NA,NA,-0.0581430171045384,NA,NA,NA
"66","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Gemmiger.s__formicilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543054975387105,NA,NA,NA
"67","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira.s__",NA,NA,NA,NA,NA,NA,NA,1.25758115363749,NA,NA,0.625041509580233,NA,NA,NA,NA,-0.641100628945758,NA
"68","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.941584972721103,NA,NA,NA,NA,NA,NA,NA
"69","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__bromii",NA,NA,NA,NA,NA,NA,NA,0.734648660449921,NA,-1.43300850701482,NA,NA,NA,-0.873095072724052,NA,NA,NA
"70","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251659141798355,-0.237471102600135,NA,-0.0984766616397721,NA
"71","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.560729587719632,NA,NA,NA,NA,NA,NA,NA
"72","k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella.s__parvula",3.57102483959735,NA,3.47999419713755,-4.03544848475304,-4.06460641352722,1.44605085779187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium..s__dolichum",NA,NA,18.3980585875621,NA,NA,NA,NA,NA,NA,NA,NA,33.7920982818739,NA,NA,NA,NA,NA
"74","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.203947011929859,NA,NA,NA,NA,NA,0.974656237779902
"75","k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania.s__",NA,NA,NA,NA,0.042266701852732,NA,NA,NA,NA,NA,NA,NA,0.0681211093638255,NA,NA,NA,NA
"76","k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.188038658863436,-0.191981228356313,NA,NA,NA,NA,NA,NA
"77","k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella.s__",-2.02731605011171,NA,NA,NA,NA,-0.976994322635619,NA,0.621512317581551,-1.49852736883417,NA,NA,NA,NA,NA,NA,NA,NA
"78","k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter.s__",NA,NA,NA,NA,NA,NA,-2.29629549724488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__.__",13.7069684279178,NA,NA,-15.3676156055428,-15.1104365824872,NA,NA,NA,NA,NA,5.1237362590636,NA,12.6258649522009,NA,NA,NA,NA
"80","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Shigella.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06091813662296,NA,NA,NA,NA
"81","k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia.s__muciniphila",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98643006840066,NA,NA,NA,NA,NA,NA,NA
