"","taxa","ATG","Busulfan","Cyclophosphamide","Fludarabine","Melphalan","VP16","Total.Body.Irradiation","Thiotepa","Methotrexate","Antibiotic","Trimethoprim.sulfamethoxazole","Phenoxymethylpenicillin","Amoxicillin","Cefuroxime","Ceftazidime","Ciprofloxacin","Metronidazole","Meropenem","Vancomycin","Linezolid"
"16","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__caccae",NA,0.577698082908964,NA,NA,NA,NA,NA,NA,NA,NA,0.463329062175412,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42643623443685,NA,NA,NA,NA,NA,NA,NA
"18","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__ovatus",NA,NA,NA,NA,NA,NA,NA,1.91463972179958,NA,NA,NA,NA,NA,3.44360300937995,NA,NA,NA,NA,NA,NA
"19","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__uniformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.450921016829122,0.826056919607024,1.08029034600536,NA,NA,NA,NA,NA,NA,NA
"20","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides.s__",NA,1.58072776259956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09679339591261,2.61056784702449,NA,NA,2.45910863776092
"21","k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.s__onderdonkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.282055191466418,NA,NA,NA,NA,NA,NA,NA,NA
"22","k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__.s__",NA,NA,NA,NA,NA,NA,NA,0.455884638207379,NA,NA,0.383170468200092,NA,NA,0.854950484628884,NA,NA,NA,NA,NA,NA
"23","k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.__",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16750522657525,NA,NA,NA,NA,NA,NA
"24","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.__.__.__",NA,6.88425949285043,6.15255369594709,NA,9.85899011601714,13.716630848671,NA,NA,24.4300656396,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26950627389735,NA
"25","k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella.s__",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00612935442910978,NA,NA,0.015256449597149,0.0174971140605648,NA,NA,NA,0.00553068217478755,NA,NA
